 #dectime HR   MN      Qh          Qe           T         H20         WS          DIR           P         Kdn         Ldn       Qstar    
   #units  h    m    W|m2        W|m2        degC        g|m3        m|s          deg         hPa        W|m2        W|m2        W|m2     
 173.4375  10  30  236.39      9.8920      24.779      10.876      2.2890      263.47      1009.5      690.05      320.52      439.51    
 173.4583  11   0  301.94     -999.00      25.496     -999.00      2.3650      274.18      1009.5      759.50      323.91      491.74    
 173.4792  11  30  171.18     -999.00      26.104     -999.00      3.5170      290.18      1009.4      822.00      327.45      538.91    
 173.5000  12   0  215.00     -999.00      27.117     -999.00      5.4550      305.00      1009.3      876.00      329.94      579.17    
 173.5208  12  30  235.99      101.50      27.508      9.4690      5.5770      303.14      1009.2      913.50      332.13      609.27    
 173.5417  13   0  280.93      60.976      27.967      9.0920      5.2090      304.15      1009.1      935.50      335.44      628.09    
 173.5625  13  30  252.52      123.45      28.197      8.7070      5.4720      303.78      1008.9      951.00      336.38      639.82    
 173.5833  14   0  161.70      135.37      28.623      7.9170      6.5360      299.90      1008.6      953.50      337.92      640.35    
 173.6042  14  30  279.67      151.11      27.939      8.7190      5.4400      277.49      1008.5      940.00      337.54      630.45    
 173.6250  15   0  258.66      106.06      27.724      9.1860      5.3470      278.34      1008.3      915.00      339.06      612.15    
 173.6458  15  30  227.40     -999.00      27.407     -999.00      5.5580      272.46      1008.3      883.00      337.52      588.85    
 173.6667  16   0  382.04     -999.00      26.850     -999.00      5.0410      266.72      1008.3      835.50      335.58      551.60    
 173.6875  16  30  277.43     -999.00      26.863     -999.00      5.9070      258.10      1008.0      780.50      336.94      509.70    
 173.7083  17   0  248.93      130.41      26.783      10.194      5.9070      255.04      1008.0      705.40      338.68      453.27    
 173.7292  17  30  253.79      59.471      25.681      10.783      5.4200      256.89      1008.1      627.05      334.64      390.22    
 173.7500  18   0  320.35      54.268      24.900      11.353      4.2040      244.31      1008.1      536.25      332.52      317.30    
 173.7708  18  30  294.74      42.001      24.337      11.276      4.2630      253.30      1008.0      443.20      330.01      241.21    
 173.7917  19   0  277.40      67.129      23.911      11.705      4.2710      267.82      1008.1      344.40      327.78      161.90    
 173.8125  19  30  245.40      64.305      24.003      12.222      1.9000      279.88      1008.3      243.50      328.20      82.030    
 173.8333  20   0  225.22      18.574      24.106      11.919      1.5900      325.65      1008.5      153.80      327.37      9.6440    
 173.8542  20  30  122.32     -63.298      23.791      11.535      2.3330      296.72      1008.8      86.000      325.12     -44.314    
 173.8750  21   0  49.653      29.892      24.419      10.476      3.9570      293.49      1008.8      40.890      326.86     -72.998    
 173.8958  21  30  23.348      29.328      24.490      10.248      3.8030      265.55      1008.8      7.5720      327.42     -89.721    
 173.9167  22   0 -3.1890      28.310      24.880      10.051      2.5290      256.52      1008.9     -2.1110      327.82     -95.654    
 173.9375  22  30  1.0540      21.981      24.603      10.183      2.1020      217.34      1009.2     -3.0710      324.71     -96.850    
 173.9583  23   0  2.8630      28.897      24.495      10.390      1.9810      219.30      1009.2     -2.9180      323.70     -96.063    
 173.9792  23  30  11.234     0.68300      24.021      10.953     0.87500      119.98      1009.2     -3.4390      322.90     -94.277    
 174.0000   0   0  22.790      13.581      24.038      10.971     0.57300      171.87      1009.1     -2.8700      322.36     -93.856    
 174.0208   0  30  58.096     -19.479      23.761      11.170     0.54900      176.78      1009.0     -3.0670      321.22     -93.454    
 174.0417   1   0  37.125      2.8340      23.463      11.438      1.1140      155.63      1008.8     -2.8680      319.47     -92.937    
 174.0625   1  30  22.284      5.8680      23.440      11.406     0.57800      167.26      1008.8     -3.1600      319.68     -92.292    
 174.0833   2   0  20.282      17.154      23.529      11.357     0.56600      128.93      1008.7     -2.1000      319.36     -90.999    
 174.1042   2  30  12.202      5.5940      23.355      11.233     0.61300      116.91      1008.6     -2.3620      316.37     -92.408    
 174.1250   3   0  7.5470      4.6870      23.375      11.265     0.34900      178.97      1008.5     -2.7490      313.96     -94.892    
 174.1458   3  30 -3.6360      3.7470      23.485      11.311     0.10500      131.02      1008.4     -3.3120      312.96     -96.607    
 174.1667   4   0 -9.9620      17.424      23.327      11.160     0.23200      345.26      1008.3     -2.0900      311.40     -95.972    
 174.1875   4  30 -93.888      130.75      22.953      10.899     0.22800      252.12      1008.3     -2.4130      309.90     -94.539    
 174.2083   5   0 -23.962      20.476      23.877      9.5600      2.1680      306.22      1008.2     -1.7600      310.21     -96.544    
 174.2292   5  30 -19.825      22.919      23.607      8.9860      2.7030      303.16      1008.2     -3.1190      307.76     -99.077    
 174.2500   6   0 -15.070      18.912      23.386      9.0160      2.1970      313.95      1008.4     -1.2960      306.95     -97.342    
 174.2708   6  30 -3.7900      26.094      23.088      8.8470      1.2380      348.94      1008.6      25.275      306.76     -76.079    
 174.2917   7   0 -8.7140      30.240      23.066      8.6690      1.8020      346.79      1008.8      87.650      305.49     -30.850    
 174.3125   7  30  70.469      5.5910      23.386      8.6780     0.85300      340.60      1008.9      169.25      302.78      28.915    
 174.3333   8   0  16.140      20.022      24.066      8.0360     0.86500      10.878      1009.0      255.40      302.38      94.225    
 174.3542   8  30  42.021      29.553      24.767      7.7250     0.45200      27.689      1009.2      345.55      305.45      166.08    
 174.3750   9   0  68.206      50.032      25.414      7.3890      1.3640      349.31      1009.5      440.05      308.64      238.61    
 174.3958   9  30  74.910      37.532      25.532      7.3980      1.6500      327.04      1009.4      531.60      310.86      306.09    
 174.4167  10   0  142.70      12.000      25.905      7.5560      1.9950      308.87      1009.3      613.45      315.04      369.55    
 174.4375  10  30  200.23      65.340      25.892      7.9910      1.8920      303.80      1009.5      678.00      320.21      420.55    
 174.4583  11   0  173.05     -999.00      26.539     -999.00      2.4880      290.67      1009.6      745.00      325.10      471.89    
 174.4792  11  30  297.40     -999.00      27.167     -999.00      2.0100      290.37      1009.6      799.00      330.05      513.83    
 174.5000  12   0  195.61     -999.00      27.647     -999.00      2.9390      308.46      1009.5      848.00      331.51      548.29    
 174.5208  12  30  238.04      70.996      28.495      7.5400      2.7260      292.55      1009.5      887.50      336.60      578.52    
 174.5417  13   0  275.62      45.047      28.586      8.4940      2.9770      256.17      1009.6      904.50      340.50      594.67    
 174.5625  13  30  307.44      75.080      27.625      9.9560      3.1400      245.79      1009.7      917.50      339.63      609.78    
 174.5833  14   0  531.96      257.99      27.624      10.166      1.9260      244.47      1009.9      908.50      343.20      604.99    
 174.6042  14  30  429.36      105.12      27.810      9.5570      1.9790      249.78      1009.8      896.50      345.12      593.97    
 174.6250  15   0  289.02      60.353      27.659      9.9640      2.4760      260.38      1009.6      881.50      346.49      583.36    
 174.6458  15  30  341.47     -999.00      27.428     -999.00      2.3410      248.87      1009.7      868.00      350.50      577.09    
 174.6667  16   0  297.36     -999.00      28.015     -999.00      2.3760      219.06      1009.7      721.00      348.33      456.63    
 174.6875  16  30  161.56     -999.00      28.363     -999.00      2.1960      218.34      1009.7      633.45      349.53      387.77    
 174.7083  17   0  345.13     -104.66      27.133      13.232      2.8970      167.74      1009.9      603.10      347.86      375.17    
 174.7292  17  30  345.74      55.535      26.966      12.148      1.1630      281.96      1010.3      578.80      341.45      348.92    
 174.7500  18   0  168.59      77.608      25.702      13.228      3.8500      176.69      1010.5      498.15      337.31      285.81    
 174.7708  18  30  200.06      12.142      25.023      12.944      4.2050      164.55      1010.6      412.75      332.98      216.95    
 174.7917  19   0  239.38      10.302      25.695      12.653      2.7910      166.58      1010.7      321.75      335.17      144.18    
 174.8125  19  30  126.66      206.48      25.975      11.953      1.2830      184.70      1010.8      230.20      335.25      70.528    
 174.8333  20   0  127.89      20.653      25.660      12.467      2.1530      168.02      1010.9      145.55      333.77      4.4930    
 174.8542  20  30  125.10      53.908      25.419      12.496      2.0100      171.89      1011.1      79.960      332.44     -44.561    
 174.8750  21   0  57.926     -7.7890      25.286      11.857      1.6290      155.19      1011.2      33.785      331.00     -75.596    
 174.8958  21  30  56.734      23.533      25.078      12.030      1.3120      170.87      1011.4      4.5700      329.13     -93.734    
 174.9167  22   0  59.116     -14.283      24.852      12.265     0.39200      209.55      1011.7     -3.3210      328.33     -97.728    
 174.9375  22  30  43.598     0.56200      25.122      12.365     0.45600      175.02      1012.0     -3.0160      329.21     -96.364    
 174.9583  23   0  106.16     -114.67      24.652      12.602     0.81900      277.84      1012.3     -3.3110      329.20     -93.202    
 174.9792  23  30  20.549      2.1660      23.747      13.147      1.1000      311.82      1012.5     -3.4410      328.33     -89.477    
 175.0000   0   0  24.698     -1.3450      23.138      13.253      1.6600      314.59      1012.7     -3.1640      326.77     -87.669    
 175.0208   0  30  41.461      12.315      23.189      13.502      1.0620      328.45      1013.0     -3.0350      326.47     -87.303    
 175.0417   1   0  27.282      18.394      23.070      14.201      1.1480      357.28      1013.0     -2.6880      326.44     -85.529    
 175.0625   1  30  58.995     -9.1060      22.484      14.942      1.7860      5.4000      1013.0     -2.8780      325.51     -83.361    
 175.0833   2   0  42.945     -25.469      21.735      15.128      1.7100      313.39      1013.1     -3.2030      323.81     -82.132    
 175.1042   2  30  24.481     -7.3670      21.535      15.164      1.0580      299.71      1013.1     -3.0600      324.19     -80.404    
 175.1250   3   0  15.361     -2.0800      21.725      15.045     0.94300      301.83      1013.0     -2.8400      324.31     -80.431    
 175.1458   3  30  22.657     -9.3650      22.129      14.950     0.39900      17.120      1013.0     -2.3550      325.48     -79.990    
 175.1667   4   0  46.237      130.72      21.965      14.135     0.31500      125.71      1013.1     -2.4720      327.46     -77.116    
 175.1875   4  30  21.421      22.288      21.515      12.811      1.0380      117.82      1013.2     -2.0910      323.55     -78.048    
 175.2083   5   0  22.189     -32.940      21.443      12.724     0.85000      72.964      1013.2     -1.9650      327.51     -73.526    
 175.2292   5  30  55.169     -3.6630      20.999      12.491      1.1320      98.080      1013.1     -2.3350      327.59     -71.863    
 175.2500   6   0  15.284     -4.5990      20.634      12.286      1.6200      105.12      1013.4    -0.72900      325.84     -70.528    
 175.2708   6  30  21.597     -6.6500      20.477      12.042      1.2060      98.838      1013.6      15.145      320.01     -62.996    
 175.2917   7   0  40.411      9.3940      20.548      12.111      1.1170      110.04      1013.7      62.580      319.28     -27.450    
 175.3125   7  30  45.005      3.5700      20.637      12.052      1.4130      106.84      1013.8      130.95      319.23      24.676    
 175.3333   8   0  62.309      9.6870      21.065      12.074      1.5230      113.36      1013.8      213.85      321.56      89.982    
 175.3542   8  30  68.299     -1.1600      21.862      12.290     0.67300      72.086      1014.0      299.20      324.46      157.98    
 175.3750   9   0  139.83     -2.0150      22.953      12.821     0.40700      60.741      1014.2      384.00      328.74      226.35    
 175.3958   9  30  236.43      48.912      23.479      12.838     0.66700      299.47      1014.3      470.90      331.16      294.08    
 175.4167  10   0  121.98     -22.061      23.102      12.824      1.8320      312.45      1014.4      554.65      332.55      355.84    
 175.4375  10  30  152.69     -999.00      23.427      13.160      2.1330      307.02      1014.4      630.35      334.88      413.59    
 175.4583  11   0  150.93     -999.00      23.552     -999.00      2.7860      315.09      1014.5      695.35      337.80      464.61    
 175.4792  11  30  208.14     -999.00      24.088     -999.00      2.0470      317.90      1014.8      753.50      343.66      512.58    
 175.5000  12   0  267.37     -999.00      25.247     -999.00     0.84200      147.60      1014.8      801.00      350.73      551.01    
 175.5208  12  30  260.10      39.485      25.415      13.854      1.6790      163.23      1014.9      834.00      353.38      576.29    
 175.5417  13   0  277.86     -10.951      25.661      14.032      1.8050      182.22      1015.0      860.00      355.62      597.59    
 175.5625  13  30  351.65      1.8390      25.975      14.168      1.1040      182.75      1015.0      872.50      357.36      608.79    
 175.5833  14   0  347.42     -20.939      25.753      14.062      2.2360      314.81      1014.9      876.50      355.92      609.83    
 175.6042  14  30  292.99      23.767      25.227      13.748      2.8670      318.33      1014.8      868.00      352.63      599.72    
 175.6250  15   0  471.89      23.210      25.256      13.856      3.0350      315.38      1014.7      853.00      352.34      588.24    
 175.6458  15  30  347.61     -999.00      25.547     -999.00      2.6420      313.30      1014.5      821.00      352.39      562.03    
 175.6667  16   0  300.29     -999.00      25.425     -999.00      2.7900      313.21      1014.5      774.50      351.72      524.42    
 175.6875  16  30  304.76     -999.00      25.783     -999.00      2.4790      307.34      1014.5      718.00      351.37      478.79    
 175.7083  17   0  302.44      14.611      25.810      13.814      2.3770      309.63      1014.5      652.80      349.15      425.36    
 175.7292  17  30  277.49     -24.336      26.259      13.754     0.82000      276.85      1014.4      581.45      349.36      366.35    
 175.7500  18   0  273.67      15.728      26.205      14.002      1.1710      284.39      1014.3      493.65      346.75      294.11    
 175.7708  18  30  286.05     -82.980      24.883      14.851      2.4720      305.47      1014.2      406.80      339.75      222.34    
 175.7917  19   0  117.03      7.1310      25.027      15.043      2.1130      301.11      1014.1      318.80      338.39      149.88    
 175.8125  19  30  175.62      25.032      24.792      15.281      2.2280      311.23      1014.3      226.25      335.20      74.720    
 175.8333  20   0  168.57     -80.125      24.936      14.627      1.7000      322.65      1014.4      143.45      335.48      9.0900    
 175.8542  20  30  65.933     -43.723      25.490      13.772     0.36500      158.94      1014.5      75.860      336.82     -41.321    
 175.8750  21   0  117.17     -87.596      24.517      14.440     0.90100      282.52      1014.7      31.545      333.46     -69.214    
 175.8958  21  30  70.783     -38.101      23.965      14.708     0.88900      313.64      1015.0      3.8900      331.89     -85.988    
 175.9167  22   0  59.064      27.144      23.902      13.635      1.0560      87.283      1015.2     -2.3360      331.13     -89.456    
 175.9375  22  30  47.859     -76.344      23.579      13.602     0.74800      117.98      1015.5     -2.9050      331.01     -87.130    
 175.9583  23   0  91.084      7.1490      22.889      15.543      1.8130      335.67      1015.8     -3.1500      331.83     -82.193    
 175.9792  23  30  57.191     0.43500      22.458      15.635      2.0040      328.18      1015.9     -2.8730      330.21     -80.974    
 176.0000   0   0  63.155      11.040      22.307      15.525      1.8070      325.96      1016.1     -2.7750      329.63     -80.198    
 176.0208   0  30  29.710     -6.0470      22.237      15.294      1.8090      352.78      1016.0     -2.3810      329.51     -78.967    
 176.0417   1   0  30.967      8.0900      22.412      15.120      1.6680      23.366      1015.7     -2.1370      330.23     -77.872    
 176.0625   1  30  9.9440     -2.1610      22.471      14.584      1.3500      32.224      1015.4     -2.2270      330.43     -77.115    
 176.0833   2   0  17.166      8.2320      22.828      14.511     0.34000      48.264      1015.4     -1.8180      331.66     -76.168    
 176.1042   2  30  25.001     -19.292      22.422      14.702      1.1390      252.63      1015.4     -2.3550      329.50     -77.050    
 176.1250   3   0  16.250     -4.2910      22.316      14.434     0.70300      317.09      1015.3     -2.6790      329.16     -77.129    
 176.1458   3  30  30.463    -0.28400      22.239      14.200     0.76600      71.173      1015.1     -2.1890      329.04     -75.993    
 176.1667   4   0  33.309     -14.870      21.967      13.855     0.97700      114.81      1015.1     -2.3920      328.28     -75.336    
 176.1875   4  30  12.110     -2.8720      21.911      13.615     0.69200      94.893      1015.0     -2.2040      328.71     -74.203    
 176.2083   5   0  31.682     -2.0170      21.840      13.465     0.82800      79.746      1014.8     -2.2820      326.86     -75.596    
 176.2292   5  30  24.719     -8.0310      21.442      13.271      1.0450      89.693      1014.8     -2.4410      324.53     -76.098    
 176.2500   6   0  23.311    -0.38600      21.317      13.100      1.3470      90.225      1014.7    -0.86000      323.67     -74.864    
 176.2708   6  30  27.545     -8.0770      20.940      12.680      1.8860      117.47      1014.8      16.610      323.67     -59.576    
 176.2917   7   0  61.514      11.300      21.113      12.533      1.3390      132.85      1015.0      62.715      324.65     -23.927    
 176.3125   7  30  39.054      5.2670      21.556      12.594     0.17100      146.55      1015.3      127.75      328.80      29.183    
 176.3333   8   0  46.051     -999.00      21.817     -999.00      1.0140      215.80      1015.6      181.45      329.25      70.907    
 176.3542   8  30  91.966     -3.5600      22.369      14.739     0.43800      217.51      1015.9      277.15      332.14      147.32    
 176.3750   9   0  112.67     -16.539      23.449      15.011     0.36200      339.02      1016.1      358.35      336.64      213.19    
 176.3958   9  30  103.93      22.174      23.254      15.231      1.6350      313.97      1016.3      443.05      338.98      278.23    
 176.4167  10   0  184.24     -18.833      22.844      14.988      2.1980      325.73      1016.2      527.85      340.36      344.21    
 176.4375  10  30  130.57     -6.3450      23.880      14.899      1.2720      309.08      1015.9      596.70      346.57      398.77    
 176.4583  11   0  261.97     -999.00      24.109     -999.00      2.7360      255.77      1015.9      664.35      351.16      450.23    
 176.4792  11  30  196.83     -999.00      23.064     -999.00      3.2600      245.62      1016.0      549.35      360.88      369.63    
 176.5000  12   0  183.29      32.991      22.936      14.683      1.8560      302.01      1016.1      661.80      353.74      456.45    
 176.5208  12  30  255.89      21.830      22.840      14.666      2.4970      314.61      1015.9      830.00      345.96      582.94    
 176.5417  13   0  247.83      43.533      22.388      14.731      2.7260      313.65      1015.8      797.00      345.17      555.19    
 176.5625  13  30  360.47     -16.767      22.434      14.888      3.0180      315.14      1015.8      877.50      345.16      619.86    
 176.5833  14   0  199.21     -26.631      22.421      15.052      3.6400      316.26      1015.7      882.50      345.10      622.73    
 176.6042  14  30  477.80      67.423      23.408      15.356      3.5550      302.14      1015.9      871.50      347.72      613.70    
 176.6250  15   0  499.37     -27.046      23.960      15.528      2.4680      311.66      1015.7      848.50      349.17      594.33    
 176.6458  15  30  380.26     -999.00      23.935     -999.00      2.4470      306.49      1015.3      816.50      347.68      566.52    
 176.6667  16   0  435.20     -999.00      24.138     -999.00      2.9450      315.18      1014.9      766.50      349.96      528.00    
 176.6875  16  30  244.96     -1.8610      23.507      15.820      3.3310      314.91      1014.7      711.90      349.32      487.06    
 176.7083  17   0  280.24      4.9980      23.693      15.803      2.7590      319.79      1014.7      622.90      347.93      414.18    
 176.7292  17  30  247.73     -26.469      26.833      15.003     0.41900      65.127      1014.6      562.65      357.59      361.92    
 176.7500  18   0  289.77      59.085      27.761      13.629      1.5810      153.82      1014.5      479.70      358.65      288.49    
 176.7708  18  30  246.17      69.245      27.476      12.828      2.1020      165.71      1014.5      392.65      352.83      212.18    
 176.7917  19   0  113.27      328.49      26.872      12.760      1.5910      173.99      1014.4      303.85      347.03      137.87    
 176.8125  19  30  163.68      136.19      25.917      14.992      1.8040      16.285      1014.2      212.75      343.67      69.098    
 176.8333  20   0  247.24     -40.743      24.789      14.900      2.4830      315.32      1014.4      131.00      337.82      4.6490    
 176.8542  20  30  114.27      14.581      23.874      15.256      2.5860      312.56      1014.7      57.245      332.69     -47.580    
 176.8750  21   0  136.92      28.112      24.080      14.831      1.3700      289.99      1015.0      20.820      339.32     -66.589    
 176.8958  21  30  38.984      7.9210      24.062      14.286     0.97200      347.73      1015.0      2.6800      346.17     -72.723    
 176.9167  22   0  9.8800      13.116      24.490      14.172     0.82800      26.010      1015.0     -1.7250      343.11     -78.863    
 176.9375  22  30  22.274      4.8280      24.827      13.406     0.38800      53.150      1015.1     -2.2470      339.58     -82.616    
 176.9583  23   0  30.914     -10.594      24.667      13.792     0.03700      174.86      1015.0     -2.2860      347.97     -72.526    
 176.9792  23  30  126.52     -166.03      24.137      14.482      1.1920      318.53      1015.0     -3.1660      335.94     -82.054    
 177.0000   0   0  26.987      41.655      23.552      14.613     0.80900      318.83      1015.1     -3.5000      328.67     -86.163    
 177.0208   0  30  15.026     -1.8580      23.784      14.268      1.1060      357.73      1015.1     -2.2410      329.29     -84.811    
 177.0417   1   0  13.653      2.8040      24.135      13.558     0.70100      78.445      1015.1     -1.9130      329.31     -84.458    
 177.0625   1  30  38.656      20.955      24.404      13.465     0.60900      98.858      1015.0     -2.1730      329.00     -85.501    
 177.0833   2   0  39.023     -18.781      24.014      13.745     0.92600      139.81      1014.9     -2.8960      325.33     -87.293    
 177.1042   2  30  96.344     -2.2840      23.400      13.682     0.83300      310.02      1014.8     -3.4820      323.31     -87.588    
 177.1250   3   0  33.899      16.707      23.255      13.444     0.68200      249.54      1014.8     -3.1810      322.58     -87.109    
 177.1458   3  30  26.435      32.644      23.129      13.093     0.86900      114.69      1014.7     -2.2650      323.24     -84.628    
 177.1667   4   0  4.6810     -10.951      22.671      12.851      1.0710      87.997      1014.6     -2.7580      321.07     -84.528    
 177.1875   4  30  11.875      2.4450      22.125      12.431      1.7030      117.21      1014.4     -2.6170      318.40     -84.927    
 177.2083   5   0  16.441     -3.5410      22.156      12.540      1.5360      127.64      1014.2     -2.3270      318.80     -84.075    
 177.2292   5  30  12.223     0.51800      22.042      12.565      1.5940      122.74      1014.1     -1.8130      332.54     -69.818    
 177.2500   6   0  20.157      8.5390      21.901      12.250      1.8050      128.51      1014.0    -0.85900      329.23     -71.864
 177.2708   6  30  4.1730      13.442      22.011      12.110      1.0460      125.86      1014.2      13.812      326.71     -63.134
 177.2917   7   0  4.0050      6.9510      21.983      11.981      1.4910      119.95      1014.4      52.715      332.36     -26.982
 177.3125   7  30  5.5430      13.515      22.205      11.965      1.2200      107.92      1014.5      122.90      327.88      21.055    
 177.3333   8   0  15.287      15.708      22.614      11.822      1.3900      110.97      1014.6      185.55      317.88      58.948    
 177.3542   8  30  39.257      3.7920      23.289      11.844      1.2450      120.97      1014.7      297.55      319.92      145.80    
 177.3750   9   0  110.35      15.283      24.405      11.604     0.80700      98.874      1014.7      391.35      325.14      219.51    
 177.3958   9  30  138.67      48.218      25.612      11.324     0.59500      119.16      1014.7      467.50      331.21      279.70    
 177.4167  10   0  170.75     -74.099      25.452      11.977      1.3270      299.06      1014.8      543.60      333.41      339.79    
 177.4375  10  30  147.95      36.132      25.075      11.813      2.0180      314.41      1014.7      628.55      332.71      402.89    
 177.4583  11   0  151.25     -999.00      25.307     -999.00      2.2890      312.58      1014.7      693.60      336.09      452.68    
 177.4792  11  30  228.81     -999.00      25.732     -999.00      1.7820      317.43      1014.6      753.50      340.99      500.33    
 177.5000  12   0  146.52     -999.00      26.464     -999.00      2.2650      307.73      1014.5      802.50      345.94      536.55    
 177.5208  12  30  146.24     -31.264      26.638      12.075      1.8450      302.52      1014.4      839.50      349.65      567.89    
 177.5417  13   0  283.69      25.429      27.557      12.385      1.8130      293.05      1014.2      872.00      352.24      593.07    
 177.5625  13  30  326.69      52.633      28.664      12.378      1.8920      198.07      1014.0      889.50      356.50      606.09    
 177.5833  14   0  412.98      90.814      28.947      12.181      4.0530      173.66      1013.7      904.00      352.67      612.47    
 177.6042  14  30  389.14      52.079      29.278      12.420      3.6860      176.48      1013.5      897.50      353.64      607.34    
 177.6250  15   0  319.94      29.535      29.381      12.152      4.5470      178.21      1013.2      880.50      352.79      592.86    
 177.6458  15  30  322.88     -999.00      29.415     -999.00      4.9990      176.47      1013.0      852.50      352.65      571.73    
 177.6667  16   0  333.77     -999.00      29.425     -999.00      4.5270      176.86      1012.9      805.50      351.37      533.36    
 177.6875  16  30  280.27     -999.00      29.028     -999.00      5.2310      160.59      1012.8      747.50      347.76      486.46    
 177.7083  17   0  346.95      65.128      28.616      12.762      4.8700      171.52      1012.6      682.10      345.97      435.46    
 177.7292  17  30  271.10      42.271      28.497      12.984      4.6790      171.33      1012.4      603.20      345.46      371.43    
 177.7500  18   0 -999.00     -999.00      28.285      13.137      4.7510      174.31      1012.2      519.45      343.73      301.86    
 177.7708  18  30  249.56      20.827      27.898      13.303      4.4150      168.88      1012.1      427.75      341.14      226.57    
 177.7917  19   0  253.65      61.758      27.528      13.607      4.1690      168.00      1012.0      330.55      339.29      148.35    
 177.8125  19  30  190.74      27.780      26.961      13.518      4.4860      171.69      1011.8      235.30      337.40      72.450    
 177.8333  20   0  169.38      13.403      26.500      13.212      4.0420      169.96      1011.8      149.75      336.58      5.8100    
 177.8542  20  30  178.69     -18.434      26.080      13.428      3.2880      170.76      1011.7      82.540      333.89     -44.240    
 177.8750  21   0  101.57     0.32500      25.442      13.986      3.0330      167.96      1011.7      36.405      331.35     -72.498    
 177.8958  21  30  79.344     -3.7800      25.126      13.931      2.7570      166.04      1011.9      5.6170      331.68     -89.337    
 177.9167  22   0  93.083      3.2660      25.040      14.121      1.5450      173.56      1012.1     -2.6820      333.12     -92.262    
 177.9375  22  30  55.534      4.9760      24.812      14.234      1.5640      186.83      1012.2     -2.9340      333.98     -89.140    
 177.9583  23   0  40.079     -3.1130      24.751      14.506     0.98500      231.95      1012.4     -3.0490      334.08     -88.053    
 177.9792  23  30  15.140      14.574      24.381      14.602      1.4930      292.67      1012.5     -2.9560      333.15     -86.034    
 178.0000   0   0  38.793     -38.028      24.057      15.429      1.6080      311.09      1012.8     -3.0630      333.64     -83.507    
 178.0208   0  30  42.353     -8.2170      23.836      15.573      1.3210      317.19      1013.0     -2.9970      333.66     -82.307    
 178.0417   1   0  26.025      18.550      23.702      15.359      1.2850      282.37      1012.9     -2.7890      333.21     -81.215    
 178.0625   1  30  14.919      33.839      23.628      14.953      1.2570      309.59      1012.6     -2.6600      332.96     -80.520    
 178.0833   2   0  13.504      10.907      23.769      15.110     0.90400      300.04      1012.4     -2.6430      332.90     -80.481    
 178.1042   2  30  12.987      15.766      23.944      15.062     0.45500      320.68      1012.1     -2.3110      331.47     -81.535    
 178.1250   3   0 -8.3030     -50.295      23.603      14.483      1.1580      95.777      1011.6     -2.6080      328.14     -83.232    
 178.1458   3  30  20.117     -2.7650      23.115      14.298      1.0860      95.446      1011.6     -2.8760      327.42     -81.837    
 178.1667   4   0  10.999     -1.2110      23.047      14.241     0.65300      72.272      1011.6     -2.5790      326.26     -82.047    
 178.1875   4  30  19.705      2.3380      23.009      14.428     0.48300      192.61      1011.7     -2.2810      326.21     -81.571    
 178.2083   5   0  31.717      3.8710      22.307      13.914      1.8720      107.66      1011.3     -2.6430      323.12     -81.918
 178.2292   5  30  14.442     -40.684      21.808      13.351      1.8460      99.293      1011.1     -2.5700      321.42     -81.378
 178.2500   6   0  22.717      24.590      21.739      12.680      1.7260      102.73      1010.8     -1.1160      320.39     -80.617
 178.2708   6  30  28.785      1.9820      21.688      12.533     0.86200      90.785      1010.9      13.156      319.70     -69.708    
 178.2917   7   0  33.350      19.369      21.606      12.059      1.4630      120.87      1010.8      60.180      319.28     -33.821    
 178.3125   7  30  29.067      7.0100      21.989      12.089     0.64100      105.77      1011.0      127.30      321.68      18.740    
 178.3333   8   0  34.021      5.2480      22.516      11.990      1.1490      115.07      1011.1      224.55      328.29      99.215    
 178.3542   8  30  67.631    -0.96800      23.223      12.010     0.93000      104.16      1011.1      262.85      330.03      128.12    
 178.3750   9   0  74.257      40.519      23.833      11.495      1.5090      102.09      1011.0      418.45      335.60      251.64    
 178.3958   9  30  149.69      66.186      24.875      11.389     0.48100      229.82      1011.1      362.65      359.42      224.71    
 178.4167  10   0  248.51      131.07      23.743      12.882      2.6430      290.84      1011.2      326.35      342.48      182.75    
 178.4375  10  30 -999.00     -999.00      23.921      13.151      1.8140      281.77      1011.1      594.05      338.03      387.73    
 178.4583  11   0 -999.00     -999.00     -999.00     -999.00     -999.00     -999.00     -999.00     -999.00     -999.00     -999.00
 178.4792  11  30  250.66     -999.00      24.740     -999.00      3.0020      257.70      1011.0      724.80      344.32      484.76    
 178.5000  12   0  391.61     -999.00      24.737     -999.00      2.7490      255.71      1011.0      795.50      345.48      538.19    
 178.5208  12  30  444.12     -221.37      24.689      14.021      3.0850      307.79      1010.7      851.00      345.83      584.80    
 178.5417  13   0  453.57     -2.3710      25.061      14.278      2.4880      286.87      1010.5      614.10      370.77      415.55    
 178.5625  13  30  310.52     -48.945      26.108      13.581      1.4960      266.08      1010.2      597.75      381.30      415.39    
 178.5833  14   0  253.59      58.039      26.158      13.630      1.7540      179.92      1009.7      496.45      380.97      331.70    
 178.6042  14  30  217.81     -5.5410      25.643      14.629      3.5360      315.02      1009.5      881.50      362.81      628.33    
 178.6250  15   0  435.54      4.6460      25.771      14.889      3.8280      315.25      1009.3      723.55      362.13      495.82    
 178.6458  15  30  280.52      26.835      25.814      14.863      3.9280      284.64      1009.3      626.35      362.63      419.42    
