 #dectime HR   MN      Qh          Qe           T         H20         WS          DIR           P         Kdn         Ldn       Qstar    
   #units  h    m    W|m2        W|m2        degC        g|m3        m|s          deg         hPa        W|m2        W|m2        W|m2     
 169.5625  13  30  452.39      36.929      20.968      7.0620      9.4930      327.18      1013.3      970.50      329.13      661.15    
 169.5833  14   0  458.58      77.492      20.857      7.1040      8.7470      322.42      1013.1      973.00      329.05      662.47    
 169.6042  14  30  435.75      42.803      21.169      7.0590      8.2160      325.39      1013.0      963.50      329.86      653.41    
 169.6250  15   0  416.98      83.033      21.678      7.0560      8.5740      330.12      1013.2      936.50      331.92      631.63    
 169.6458  15  30  480.26     -999.00      21.779     -999.00      8.0210      324.76      1013.1      904.00      331.70      606.54    
 169.6667  16   0  455.02     -999.00      21.960     -999.00      7.7520      327.95      1012.7      860.50      330.12      570.10    
 169.6875  16  30  466.62     -999.00      22.004     -999.00      7.8600      323.04      1012.8      804.00      328.61      527.65    
 169.7083  17   0  351.08      72.759      21.936      7.3670      7.3120      321.83      1012.9      734.50      328.20      474.70    
 169.7292  17  30  299.13      67.751      21.894      7.3550      7.0940      322.11      1013.0      655.00      326.73      409.84    
 169.7500  18   0  339.65      44.890      22.066      7.2190      7.6470      329.14      1013.0      564.40      325.43      335.80    
 169.7708  18  30  327.10      26.384      21.699      7.2150      7.8500      328.17      1013.1      467.40      322.31      256.86    
 169.7917  19   0  278.57      2.1310      21.527      7.4920      7.2460      327.41      1013.5      364.95      321.01      174.36    
 169.8125  19  30  254.91      67.985      21.500      7.4400      6.7720      329.82      1013.7      264.60      319.13      92.073    
 169.8333  20   0  200.69      39.758      21.025      7.4510      6.2680      327.36      1013.7      172.35      315.31      15.408    
 169.8542  20  30  167.06      3.9990      20.719      7.4010      6.5130      327.60      1014.0      95.800      313.01     -45.654    
 169.8750  21   0  124.63      39.788      20.279      7.4240      5.4590      330.37      1014.2      43.835      310.66     -80.286    
 169.8958  21  30  79.521      11.400      19.688      7.2830      5.8000      328.62      1014.5      7.5530      307.75     -100.74    
 169.9167  22   0  87.401      14.144      19.310      7.3560      4.8150      328.05      1014.8     -2.4070      305.79     -105.83    
 169.9375  22  30  67.110      3.9360      18.817      7.4890      6.2510      326.09      1015.0     -2.5580      303.73     -104.87    
 169.9583  23   0  83.733      24.774      18.471      7.5380      6.4180      325.33      1014.8     -2.4710      301.31     -104.89    
 169.9792  23  30  66.730      14.287      18.115      7.5820      7.5410      329.71      1014.7     -2.3580      299.55     -104.37    
 170.0000   0   0  47.570      14.540      17.875      7.4790      6.1940      332.82      1014.7     -2.4740      298.49     -103.89    
 170.0208   0  30  40.801      5.9860      17.611      7.1700      6.3830      341.54      1014.9     -2.3110      297.81     -102.83    
 170.0417   1   0  46.844      12.219      17.301      7.1620      5.1790      345.77      1014.8     -2.5050      296.30     -102.61    
 170.0625   1  30  42.824      1.8210      17.045      7.2080      5.1150      341.49      1014.8     -2.4930      295.53     -101.66    
 170.0833   2   0  30.245      6.6780      16.816      7.3220      4.0390      348.89      1014.6     -2.6280      294.21     -101.47    
 170.1042   2  30  25.704      10.582      16.611      7.3460      3.6460      347.95      1014.6     -2.6410      293.38     -100.86    
 170.1250   3   0  28.176      6.2300      16.279      7.4510      3.7070      345.93      1014.7     -2.6450      292.07     -100.31    
 170.1458   3  30  24.333      7.9270      16.090      7.5220      3.4200      335.67      1014.4     -2.6050      294.40     -97.016    
 170.1667   4   0  30.513      6.6360      15.974      7.5300      3.7470      329.90      1014.1     -2.4430      297.52     -93.125    
 170.1875   4  30  28.298      6.4390      15.783      7.5390      4.1400      342.86      1013.8     -2.4110      293.48     -96.044    
 170.2083   5   0  26.715      9.1880      15.663      7.4280      3.9880      340.66      1013.6     -2.3340      296.08     -92.795    
 170.2292   5  30  30.953      6.9950      15.464      7.3980      3.5450      330.27      1013.7     -2.5330      295.84     -92.149    
 170.2500   6   0  30.311      7.3320      15.356      7.4520      3.3210      337.78      1013.8     0.43200      293.09     -91.821    
 170.2708   6  30  29.818      13.100      15.395      7.5250      3.0960      336.22      1013.8      21.800      292.24     -76.938    
 170.2917   7   0  54.301      25.138      15.401      7.5870      2.9810      338.10      1013.8      82.440      291.93     -36.062    
 170.3125   7  30  44.695      33.097      15.769      7.5150      2.3520      343.20      1013.6      165.35      293.51      20.610    
 170.3333   8   0 -999.00     -999.00      16.324      7.3740      2.0980      316.14      1013.7      253.90      297.17      87.130    
 170.3542   8  30 -999.00     -999.00     -999.00     -999.00     -999.00     -999.00     -999.00     -999.00     -999.00     -999.00
 170.3750   9   0  92.597     -999.00      17.975     -999.00      3.2550      331.40      1013.9      447.85      305.47      234.31    
 170.3958   9  30  105.22      18.100      19.134      7.0290      4.0620      337.98      1013.8      568.80      312.65      326.00    
 170.4167  10   0  126.66      35.081      20.513      7.0510      3.5810      346.77      1013.8      569.95      323.80      330.66    
 170.4375  10  30  189.40      43.767      21.031      6.9900      3.6070      338.95      1014.0      705.25      325.47      432.20    
 170.4583  11   0  267.68     -999.00      21.982     -999.00      3.2300      335.43      1013.9      769.50      327.39      474.91    
 170.4792  11  30  264.79     -999.00      21.734     -999.00      3.5650      301.94      1013.8      828.00      329.02      518.95    
 170.5000  12   0  232.39     -999.00      21.875     -999.00      3.9670      299.44      1013.8      882.50      325.76      562.59    
 170.5208  12  30  320.60      24.837      22.904      7.8080      3.5760      297.21      1013.6      917.50      306.32      590.07    
 170.5417  13   0  314.48      44.583      23.001      7.9360      4.3360      300.81      1013.6      947.00      308.69      617.99    
 170.5625  13  30  282.46      56.258      23.293      8.1470      4.4390      301.10      1013.5      961.50      312.16      632.82    
 170.5833  14   0  364.51      62.748      23.761      8.1510      3.9410      300.81      1013.3      963.00      314.88      632.68    
 170.6042  14  30  250.05      48.049      23.983      7.8780      4.3610      299.77      1013.1      954.50      315.45      625.35    
 170.6250  15   0  302.95      65.285      24.415      7.7550      3.8520      298.10      1012.9      931.50      316.51      606.05    
 170.6458  15  30  387.25     -999.00      24.721     -999.00      3.6220      299.28      1012.8      897.00      316.66      578.78    
 170.6667  16   0  328.96     -999.00      24.703     -999.00      3.4230      298.66      1012.6      849.00      315.87      540.55    
 170.6875  16  30  319.49     -999.00      24.819     -999.00      3.2860      300.89      1012.5      790.50      315.02      497.55    
